MEROPS_code,MEROPS_name,Respiratory system,Lung,Gastrointestinal tract
S09.982,liver carboxylesterase,1,1,1
I04.006,serpin B1,1,1,1
S33.984,protein phosphatase methylesterase 1,1,1,1
C19.001,ubiquitin-specific peptidase 5,1,1,0
I43.UPW,family I43 unassigned peptidase inhibitors,1,1,1
I43.UPW,family I43 unassigned peptidase inhibitors,1,1,1
I43.UPW,family I43 unassigned peptidase inhibitors,1,1,1
I43.UPW,family I43 unassigned peptidase inhibitors,1,1,1
I43.UPW,family I43 unassigned peptidase inhibitors,1,1,0
I43.UPW,family I43 unassigned peptidase inhibitors,1,1,0
I43.UPW,family I43 unassigned peptidase inhibitors,1,1,0
I43.UPW,family I43 unassigned peptidase inhibitors,1,1,1
I43.UPW,family I43 unassigned peptidase inhibitors,1,1,1
I43.UPW,family I43 unassigned peptidase inhibitors,1,1,1
I43.UPW,family I43 unassigned peptidase inhibitors,1,1,1
I43.UPW,family I43 unassigned peptidase inhibitors,1,1,1
I43.UPW,family I43 unassigned peptidase inhibitors,1,1,1
I43.UPW,family I43 unassigned peptidase inhibitors,1,1,1
I43.UPW,family I43 unassigned peptidase inhibitors,1,0,1
I43.UPW,family I43 unassigned peptidase inhibitors,1,1,1
I43.UPW,family I43 unassigned peptidase inhibitors,1,0,1
I43.UPW,family I43 unassigned peptidase inhibitors,1,1,1
I43.UPW,family I43 unassigned peptidase inhibitors,1,0,0
I43.UPW,family I43 unassigned peptidase inhibitors,1,1,0
I43.UPW,family I43 unassigned peptidase inhibitors,1,1,0
I43.UPW,family I43 unassigned peptidase inhibitors,1,0,1
I43.UPW,family I43 unassigned peptidase inhibitors,1,1,1
I43.UPW,family I43 unassigned peptidase inhibitors,0,0,1
I43.UPW,family I43 unassigned peptidase inhibitors,0,1,1
I43.UPW,family I43 unassigned peptidase inhibitors,1,0,1
I43.UPW,family I43 unassigned peptidase inhibitors,0,1,1
I43.UPW,family I43 unassigned peptidase inhibitors,1,1,1
I43.UPW,family I43 unassigned peptidase inhibitors,1,0,1
I43.UPW,family I43 unassigned peptidase inhibitors,1,1,1
I43.UPW,family I43 unassigned peptidase inhibitors,1,0,1
I43.UPW,family I43 unassigned peptidase inhibitors,1,1,1
I43.UPW,family I43 unassigned peptidase inhibitors,1,0,1
I43.UPW,family I43 unassigned peptidase inhibitors,1,1,1
I43.UPW,family I43 unassigned peptidase inhibitors,1,1,1
S59.001,nucleoporin 145,1,1,0
C19.011,ubiquitin-specific peptidase 8,1,1,1
M67.A10,F37A4.5 protein ({Caenorhabditis elegans}),1,1,1
C26.952,dihydro-orotase (N-terminal unit) ({Homo sapiens}-type),1,1,1
M38.972,dihydro-orotase,1,1,1
C64.006,VCIP135 deubiquitinating peptidase,1,1,0
C19.022,ubiquitin-specific peptidase 15,1,1,1
I32.005,survivin,1,1,1
M24.973,proliferation-association protein 1,1,1,1
P02.010,latrophilin-1,1,1,1
S08.077,PCSK7 peptidase,1,1,0
I01.UPW,family I1 unassigned peptidase inhibitors,1,1,1
I01.UPW,family I1 unassigned peptidase inhibitors,1,1,1
I01.UPW,family I1 unassigned peptidase inhibitors,1,1,1
I01.UPW,family I1 unassigned peptidase inhibitors,1,1,1
I01.UPW,family I1 unassigned peptidase inhibitors,1,1,1
I01.UPW,family I1 unassigned peptidase inhibitors,1,1,1
I01.UPW,family I1 unassigned peptidase inhibitors,1,1,1
I01.UPW,family I1 unassigned peptidase inhibitors,1,0,1
I01.UPW,family I1 unassigned peptidase inhibitors,0,1,1
I04.979,pigment epithelium derived factor,1,1,1
M12.219,ADAMDEC1 peptidase,1,1,1
C46.002,Sonic hedgehog protein,1,1,0
I04.954,corticosteroid-binding globulin,1,1,0
C14.005,caspase-6,1,1,1
C14.004,caspase-7,1,1,1
M01.004,leukotriene A4 hydrolase,1,1,1
M02.001,angiotensin-converting enzyme peptidase unit 1,1,1,1
M02.004,angiotensin-converting enzyme peptidase unit 2,1,1,1
S33.988,Mername-AA229 peptidase homologue,1,1,1
T01.974,proteasome subunit alpha 7,1,1,1
M54.002,aminopeptidase AMZ2,1,1,1
I08.950,von Willebrand factor,1,1,1
I08.954,von Willebrand factor inhibitor unit 2,1,1,1
C65.002,otubain-2,1,1,0
C12.003,ubiquitinyl hydrolase-L3,1,1,1
C12.005,ubiquitinyl hydrolase-L5,1,1,1
M17.001,leucyl aminopeptidase 3,1,1,1
M67.971,Mername-AA168 protein,1,1,1
I93.UPW,family I93 unassigned peptidase inhibitors,1,1,1
I93.UPW,family I93 unassigned peptidase inhibitors,1,1,1
I93.UPW,family I93 unassigned peptidase inhibitors,1,1,1
I93.UPW,family I93 unassigned peptidase inhibitors,1,1,1
I93.UPW,family I93 unassigned peptidase inhibitors,1,0,1
I93.UPW,family I93 unassigned peptidase inhibitors,1,0,1
C69.004,secernin 2,1,1,1
I04.020,plasminogen activator inhibitor-1,1,1,1
C19.060,ubiquitin-specific peptidase 30,1,1,1
M10.015,membrane-type matrix metallopeptidase-2,1,1,0
M01.014,aminopeptidase B,1,1,1
S09.942,esterase/lipase ({Homo sapiens}),1,1,1
S10.003,vitellogenic carboxypeptidase-like protein,1,1,0
M14.006,carboxypeptidase M,1,1,1
C54.005,autophagin-4,1,1,1
S01.976,hepatocyte growth factor,1,1,1
S01.232,t-plasminogen activator,1,1,1
I17.002,elafin,1,1,1
I93.002,Crescent protein ({Xenopus} sp.),1,1,1
I93.002,Crescent protein ({Xenopus} sp.),1,1,1
I93.002,Crescent protein ({Xenopus} sp.),1,1,0
I93.002,Crescent protein ({Xenopus} sp.),1,0,1
I93.002,Crescent protein ({Xenopus} sp.),1,0,1
I93.002,Crescent protein ({Xenopus} sp.),1,0,1
I02.033,WFIKKN peptidase inhibitor inhibitor unit 3,1,1,1
I02.953,WFIKKN peptidase inhibitor inhibitor unit 2,1,1,1
I17.951,WFIKKN peptidase inhibitor inhibitor unit 1,1,1,1
M14.955,inactive carboxypeptidase-like protein X2 ({Homo sapiens}),1,1,0
M01.028,aminopeptidase O,1,1,1
S33.976,Williams-Beuren syndrome critical region protein 21 epoxide hydrolase,1,1,1
I27.001,calpastatin inhibitor unit 1,1,1,1
I27.003,calpastatin inhibitor unit 3,1,1,1
M03.001,thimet oligopeptidase,1,1,1
I02.016,amyloid precursor-like protein 2,1,1,1
C19.034,ubiquitin-specific peptidase 21,1,1,1
M16.009,eupitrilysin,1,1,1
X44.001,25 kDa subunit of mammalian signal peptidase complex,1,1,1
M24.026,aminopeptidase P3,1,1,1
C85.005,ALG13 g.p. ({Homo sapiens}),1,1,1
M02.006,angiotensin-converting enzyme-2,1,1,1
C46.003,Indian hedgehog protein,1,1,1
M24.974,FACT complex subunit SPT16,1,1,1
T02.002,isoaspartyl dipeptidase (threonine type),1,1,1
M28.010,glutamate carboxypeptidase II,1,1,1
C01.018,cathepsin F,1,1,1
S33.973,cytosolic epoxide hydrolase,1,1,1
S01.530,protein FAM111A,1,1,1
S60.001,lactoferrin,1,1,1
S60.970,"lactotransferrin precursor, domain 2",1,1,1
M12.209,ADAM9 peptidase,1,1,1
S71.001,MUC1 self-cleaving mucin,1,1,1
M10.013,matrix metallopeptidase-13,1,1,0
I63.UPW,family I63 unassigned peptidase inhibitors,1,1,1
I63.UPW,family I63 unassigned peptidase inhibitors,1,1,1
I63.UPW,family I63 unassigned peptidase inhibitors,1,1,1
I63.UPW,family I63 unassigned peptidase inhibitors,1,1,1
I63.UPW,family I63 unassigned peptidase inhibitors,1,1,1
I63.UPW,family I63 unassigned peptidase inhibitors,1,1,1
I63.UPW,family I63 unassigned peptidase inhibitors,1,1,0
I63.UPW,family I63 unassigned peptidase inhibitors,1,1,0
I63.UPW,family I63 unassigned peptidase inhibitors,1,1,1
I63.UPW,family I63 unassigned peptidase inhibitors,1,1,1
I63.UPW,family I63 unassigned peptidase inhibitors,0,0,1
I63.UPW,family I63 unassigned peptidase inhibitors,1,0,1
I63.UPW,family I63 unassigned peptidase inhibitors,0,1,1
I63.UPW,family I63 unassigned peptidase inhibitors,0,1,1
I63.UPW,family I63 unassigned peptidase inhibitors,1,1,1
S01.015,tryptase beta,1,1,1
S01.143,tryptase alpha,1,1,1
M76.001,Atp23 peptidase (animal-type),1,1,0
A01.004,BACE1 g.p. ({Homo sapiens}),1,1,1
S54.009,PARL peptidase,1,1,1
S33.983,Ccg1-interacting factor b,1,1,1
T01.973,proteasome subunit alpha 4,1,1,1
T01.011,proteasome subunit beta2c,1,1,1
T01.017,protein serine kinase c17,1,1,1
A01.046,napsin A,1,1,0
C01.040,cathepsin H,1,1,1
S28.001,lysosomal Pro-Xaa carboxypeptidase,1,1,1
S01.231,urokinase-type plasminogen activator,1,1,1
M24.005,aminopeptidase P2,1,1,1
P02.022,GPR110 G-protein coupled receptor,1,1,1
P02.026,KPG_009 protein,1,1,1
G04.001,Tiki1 peptidase,1,1,1
S08.071,furin,1,1,1
I01.977,KIAA1263 protein,1,1,1
I01.977,KIAA1263 protein,1,1,1
I31.UPW,family I31 unassigned peptidase inhibitors,1,1,1
I31.UPW,family I31 unassigned peptidase inhibitors,1,1,1
I31.UPW,family I31 unassigned peptidase inhibitors,1,1,1
I31.UPW,family I31 unassigned peptidase inhibitors,1,1,1
I31.UPW,family I31 unassigned peptidase inhibitors,1,1,1
I31.UPW,family I31 unassigned peptidase inhibitors,1,0,1
T01.972,proteasome subunit alpha 2,1,1,1
M16.974,ubiquinol-cytochrome c reductase core protein II,1,1,1
C56.002,DJ-1 putative peptidase,1,1,1
I51.002,phosphatidylethanolamine-binding protein,1,1,1
C12.001,ubiquitinyl hydrolase-L1,1,1,1
S33.997,monoacylglycerol lipase ABHD6,1,1,0
I02.974,LOC222978 protein ({Homo sapiens}) and similar,1,1,1
M38.974,dihydropyrimidinase related protein-1,1,1,1
C26.966,CTP synthase 2,1,1,1
S01.286,Tysnd1 peptidase,1,1,1
S09.988,"neuroligin 4, X-linked",1,1,1
T03.006,gamma-glutamyltransferase 1 (mammalian-type),1,1,1
T03.016,gamma-glutamyltransferase-like protein 4,1,1,0
M87.003,chloride channel accessory protein 2,1,1,0
T01.986,proteasome subunit beta 1,1,1,1
M28.974,glutaminyl cyclase,1,1,1
C01.084,bleomycin hydrolase (animal),1,1,1
C02.031,calpain 15 ({Homo sapiens}),1,1,1
C19.080,ubiquitin-specific peptidase 54,1,1,1
M38.978,dihydropyrimidinase related protein-5,1,1,1
C69.005,secernin 3,1,1,1
I01.980,Spock2 protein,1,1,0
I31.007,testican 3,1,1,0
S08.073,PCSK2 peptidase,1,1,1
S01.131,elastase-2,1,1,0
M10.002,matrix metallopeptidase-8,1,1,0
M12.237,ADAMTS12 peptidase,1,1,1
M12.024,ADAMTS14 peptidase,1,1,1
M12.226,ADAMTS8 peptidase,1,1,1
M01.008,pyroglutamyl-peptidase II,1,1,0
C111.006,protein-glutamine gamma-glutamyltransferase 6,1,1,1
I51.UPW,family I51 unassigned peptidase inhibitors,1,1,1
I51.UPW,family I51 unassigned peptidase inhibitors,1,1,1
I51.UPW,family I51 unassigned peptidase inhibitors,1,1,1
I51.UPW,family I51 unassigned peptidase inhibitors,1,1,1
S01.029,kallikrein-related peptidase 14,1,1,0
P02.023,GPR97 protein,1,1,0
I01.037,RECK protein inhibitor unit 1,1,1,1
M14.010,carboxypeptidase A3,1,1,1
