GeneSym	EnsembleID	GO_anno
PI4K2A	ENSP00000359665	other organism cell membrane
PI4K2A	ENSP00000359665	host cell synapse
PI4K2A	ENSP00000359665	other organism membrane
PI4K2A	ENSP00000359665	host cell membrane
PI4K2A	ENSP00000359665	host cell presynaptic membrane
PI4K2A	ENSP00000359665	other organism presynaptic membrane
ANXA13	ENSP00000262219	exocytic vesicle
AQP2	ENSP00000199280	exocytic vesicle
RAB27A	ENSP00000337761	exocytic vesicle
PI4K2A	ENSP00000359665	exocytic vesicle
SYTL2	ENSP00000346576	exocytic vesicle
UNC13D	ENSP00000207549	exocytic vesicle
RDX	ENSP00000342830	cell pole
EZR	ENSP00000338934	cell pole
SLC32A1	ENSP00000217420	cell pole
PI4K2A	ENSP00000359665	cell pole
ASTN2	ENSP00000363108	cell pole
GRM6	ENSP00000231188	cell pole
VANGL2	ENSP00000357040	cell pole
RAB8B	ENSP00000312734	cell pole
TRPM1	ENSP00000380897	cell pole
RDX	ENSP00000342830	cell tip
EZR	ENSP00000338934	cell tip
SLC32A1	ENSP00000217420	cell tip
PI4K2A	ENSP00000359665	cell tip
GRM6	ENSP00000231188	cell tip
RAB8B	ENSP00000312734	cell tip
TRPM1	ENSP00000380897	cell tip
PI4K2A	ENSP00000359665	growing cell tip
GRM6	ENSP00000231188	growing cell tip
TRPM1	ENSP00000380897	growing cell tip
GRM6	ENSP00000231188	new growing cell tip
TRPM1	ENSP00000380897	new growing cell tip
BICD1	ENSP00000281474	cytoplasmic viral factory
BICD1	ENSP00000281474	viral factory
BICD1	ENSP00000281474	host cell viral assembly compartment
AQP1	ENSP00000311165	host cell cytoplasm part
BICD1	ENSP00000281474	host cell cytoplasm part
AQP1	ENSP00000311165	host cell cytoplasm
BICD1	ENSP00000281474	host cell cytoplasm
PI4K2A	ENSP00000359665	host cell part
AQP1	ENSP00000311165	host cell part
BICD1	ENSP00000281474	host cell part
TMEM229A	ENSP00000395244	host cell part
PI4K2A	ENSP00000359665	host cell
AQP1	ENSP00000311165	host cell
BICD1	ENSP00000281474	host cell
TMEM229A	ENSP00000395244	host cell
PI4K2A	ENSP00000359665	host
AQP1	ENSP00000311165	host
BICD1	ENSP00000281474	host
TMEM229A	ENSP00000395244	host
AQP1	ENSP00000311165	host intracellular part
BICD1	ENSP00000281474	host intracellular part
TMEM229A	ENSP00000395244	host intracellular part
AQP1	ENSP00000311165	intracellular region of host
BICD1	ENSP00000281474	intracellular region of host
TMEM229A	ENSP00000395244	intracellular region of host
BICD1	ENSP00000281474	host intracellular membrane-bounded organelle
TMEM229A	ENSP00000395244	host intracellular membrane-bounded organelle
BICD1	ENSP00000281474	host intracellular organelle
