GeneSym	EnsembleID	Tissue
CEP120	ENSG00000168944	duodenum
INPP1	ENSG00000151689	duodenum
BAZ2A	ENSG00000076108	duodenum
PRR9	ENSG00000203783	duodenum
OR1Q1	ENSG00000165202	duodenum
CCNJ	ENSG00000107443	duodenum
S100A14	ENSG00000189334	duodenum
KLF4	ENSG00000136826	duodenum
MIPEP	ENSG00000027001	duodenum
JAKMIP3	ENSG00000188385	duodenum
RALY	ENSG00000125970	duodenum
CD3EAP	ENSG00000117877	duodenum
ZBED4	ENSG00000100426	duodenum
ZNF583	ENSG00000198440	duodenum
PRDM14	ENSG00000147596	duodenum
TEAD4	ENSG00000197905	duodenum
MAP4K5	ENSG00000012983	duodenum
PRSS35	ENSG00000146250	duodenum
LYNX1	ENSG00000180155	duodenum
TRAF7	ENSG00000131653	duodenum
RAD23A	ENSG00000179262	duodenum
FAM9B	ENSG00000177138	duodenum
CFDP1	ENSG00000153774	duodenum
GAL3ST4	ENSG00000197093	duodenum
MAML2	ENSG00000184384	duodenum
ZNF766	ENSG00000196214	duodenum
FAM83B	ENSG00000168143	duodenum
PLCG1	ENSG00000124181	duodenum
PRPF40A	ENSG00000196504	duodenum
PSKH1	ENSG00000159792	duodenum
MYEOV2	ENSG00000172428	duodenum
GRM5	ENSG00000168959	duodenum
ZNF227	ENSG00000131115	duodenum
PHF1	ENSG00000112511	duodenum
PUF60	ENSG00000179950	duodenum
CNTLN	ENSG00000044459	duodenum
SLC20A1	ENSG00000144136	duodenum
HINT2	ENSG00000137133	duodenum
PDCL2	ENSG00000163440	duodenum
PDE11A	ENSG00000128655	duodenum
HTR1F	ENSG00000179097	duodenum
SSTR2	ENSG00000180616	duodenum
MYOM3	ENSG00000142661	duodenum
OAT	ENSG00000065154	duodenum
STRIP2	ENSG00000128578	duodenum
ABCG4	ENSG00000172350	duodenum
LEPREL1	ENSG00000090530	duodenum
TRIM67	ENSG00000119283	duodenum
YAE1D1	ENSG00000241127	duodenum
L3MBTL3	ENSG00000198945	duodenum
KLF16	ENSG00000129911	duodenum
NDUFA7	ENSG00000267855	duodenum
PNISR	ENSG00000132424	duodenum
CSNK1G1	ENSG00000169118	duodenum
SEL1L3	ENSG00000091490	duodenum
TRAM1	ENSG00000067167	duodenum
PSKH2	ENSG00000147613	duodenum
PNMA6A	ENSG00000235961	duodenum
KLHL35	ENSG00000149243	duodenum
SDR9C7	ENSG00000170426	duodenum
CALCRL	ENSG00000064989	duodenum
DMRTA2	ENSG00000142700	duodenum
COL18A1	ENSG00000182871	duodenum
LARP4	ENSG00000161813	duodenum
SPAG9	ENSG00000008294	duodenum
DEPDC1	ENSG00000024526	duodenum
IGSF1	ENSG00000147255	duodenum
FAM222A	ENSG00000139438	duodenum
ZNF638	ENSG00000075292	duodenum
NQO1	ENSG00000181019	duodenum
NDEL1	ENSG00000166579	duodenum
HNRNPUL2	ENSG00000214753	duodenum
PES1	ENSG00000100029	duodenum
PKMYT1	ENSG00000127564	duodenum
ARHGAP11A	ENSG00000198826	duodenum
CEP170B	ENSG00000099814	duodenum
CGREF1	ENSG00000138028	duodenum
ZNF333	ENSG00000160961	duodenum
CHEK2	ENSG00000183765	duodenum
COMMD10	ENSG00000145781	duodenum
C2CD2L	ENSG00000172375	duodenum
ZNF546	ENSG00000187187	duodenum
AGBL1	ENSG00000166748	duodenum
LRRC46	ENSG00000141294	duodenum
NLE1	ENSG00000073536	duodenum
HSD17B12	ENSG00000149084	duodenum
CKMT1A	ENSG00000223572	duodenum
CKMT1B	ENSG00000237289	duodenum
COLGALT2	ENSG00000198756	duodenum
NDUFB9	ENSG00000147684	duodenum
BUD31	ENSG00000106245	duodenum
PLD6	ENSG00000179598	duodenum
FAM206A	ENSG00000119328	duodenum
GRAMD2	ENSG00000175318	duodenum
INPPL1	ENSG00000165458	duodenum
CABP1	ENSG00000157782	duodenum
IP6K2	ENSG00000068745	duodenum
SREBF2	ENSG00000198911	duodenum
BRIX1	ENSG00000113460	duodenum
TFRC	ENSG00000072274	duodenum
PTGES2	ENSG00000148334	duodenum
RBM39	ENSG00000131051	duodenum
ODF3L2	ENSG00000181781	duodenum
ASTL	ENSG00000188886	duodenum
PLSCR5	ENSG00000231213	duodenum
HNMT	ENSG00000150540	duodenum
MAML3	ENSG00000196782	duodenum
ISG20L2	ENSG00000143319	duodenum
LRRFIP2	ENSG00000093167	duodenum
PPAN	ENSG00000130810	duodenum
KLC3	ENSG00000104892	duodenum
EPHA7	ENSG00000135333	duodenum
SNX1	ENSG00000028528	duodenum
PRODH2	ENSG00000250799	duodenum
THADA	ENSG00000115970	duodenum
PPIH	ENSG00000171960	duodenum
RPL13A	ENSG00000142541	duodenum
INTS4	ENSG00000149262	duodenum
PTGS1	ENSG00000095303	duodenum
GTF3C6	ENSG00000155115	duodenum
WDHD1	ENSG00000198554	duodenum
HDLBP	ENSG00000115677	duodenum
ATP8B3	ENSG00000130270	duodenum
CDK6	ENSG00000105810	duodenum
ZCCHC18	ENSG00000166707	duodenum
ZNF444	ENSG00000167685	duodenum
BIRC5	ENSG00000089685	duodenum
ITGAD	ENSG00000156886	duodenum
SPINK7	ENSG00000145879	duodenum
TFCP2L1	ENSG00000115112	duodenum
FA2H	ENSG00000103089	duodenum
BST1	ENSG00000109743	duodenum
TMEM180	ENSG00000138111	duodenum
C10ORF126	ENSG00000204365	duodenum
TTYH1	ENSG00000167614	duodenum
TRIM37	ENSG00000108395	duodenum
SDC1	ENSG00000115884	duodenum
PPP1R36	ENSG00000165807	duodenum
TRIM24	ENSG00000122779	duodenum
DCANP1	ENSG00000251380	duodenum
PTPLA	ENSG00000165996	duodenum
TLE3	ENSG00000140332	duodenum
ZNF142	ENSG00000115568	duodenum
EZH2	ENSG00000106462	duodenum
ANLN	ENSG00000011426	duodenum
CBX2	ENSG00000173894	duodenum
NUDT13	ENSG00000166321	duodenum
TMEM30B	ENSG00000182107	duodenum
MCM7	ENSG00000166508	duodenum
INCENP	ENSG00000149503	duodenum
IL18	ENSG00000150782	duodenum
CDC20	ENSG00000117399	duodenum
HELLS	ENSG00000119969	duodenum
RACGAP1	ENSG00000161800	duodenum
MCM2	ENSG00000073111	duodenum
CDK2	ENSG00000123374	duodenum
LRFN1	ENSG00000128011	duodenum
POPDC3	ENSG00000132429	duodenum
CMTR2	ENSG00000180917	duodenum
OR4M1	ENSG00000176299	duodenum
FANCD2	ENSG00000144554	duodenum
UPP1	ENSG00000183696	duodenum
BCL2L14	ENSG00000121380	duodenum
ODF3	ENSG00000177947	duodenum
OR52D1	ENSG00000181609	duodenum
IL37	ENSG00000125571	duodenum
C17ORF67	ENSG00000214226	duodenum
C16ORF95	ENSG00000260456	duodenum
APOB	ENSG00000084674	duodenum
ENPP7	ENSG00000182156	duodenum
RNF212	ENSG00000178222	duodenum
C8ORF31	ENSG00000177335	duodenum
RC3H2	ENSG00000056586	duodenum
TNFRSF10A	ENSG00000104689	duodenum
ASB12	ENSG00000198881	duodenum
MTMR8	ENSG00000102043	duodenum
C19ORF25	ENSG00000119559	duodenum
S100A16	ENSG00000188643	duodenum
NDUFAF1	ENSG00000137806	duodenum
HAO1	ENSG00000101323	duodenum
