GeneSym	EnsembleID	Tissue/Cell Type
KIAA1217	ENSP00000365637	breast epithelium
S100A2	ENSP00000357697	breast epithelium
RBCK1	ENSP00000348632	breast epithelium
KIAA1217	ENSP00000365637	mammary epithelium
S100A2	ENSP00000357697	mammary epithelium
RBCK1	ENSP00000348632	mammary epithelium
SCO2	ENSP00000252785	animal
TNIP3	ENSP00000057513	animal
LILRA6	ENSP00000390120	animal
DCSTAMP	ENSP00000297581	animal
CD300LD	ENSP00000364501	animal
CCR1	ENSP00000296140	animal
CCL17	ENSP00000219244	animal
CCR5	ENSP00000292303	animal
FUOM	ENSP00000357540	animal
CLEC4D	ENSP00000299665	animal
CD300E	ENSP00000329942	animal
LILRA3	ENSP00000251390	animal
FCAR	ENSP00000347714	animal
CHIT1	ENSP00000255427	animal
CLEC17A	ENSP00000380581	animal
VSTM1	ENSP00000343366	animal
MMP12	ENSP00000320664	animal
CTSG	ENSP00000216336	animal
FPR2	ENSP00000340191	animal
CXCL3	ENSP00000296026	animal
IL1B	ENSP00000263341	animal
HBEGF	ENSP00000230990	animal
ARIH1	ENSP00000369217	animal
ATP10D	ENSP00000273859	animal
IRF8	ENSP00000268638	animal
LTC4S	ENSP00000292596	animal
C1QC	ENSP00000363768	animal
SIGLEC14	ENSP00000415200	animal
ABCA6	ENSP00000284425	animal
CCL22	ENSP00000219235	animal
LILRB2	ENSP00000375629	animal
SIGLEC1	ENSP00000341141	animal
GPR171	ENSP00000308479	animal
VMO1	ENSP00000328397	animal
HCAR2	ENSP00000375066	animal
C1QA	ENSP00000363773	animal
ABCA9	ENSP00000342216	animal
GPD1	ENSP00000301149	animal
CCR3	ENSP00000350003	animal
TREM1	ENSP00000244709	animal
SLAMF7	ENSP00000357022	animal
EMILIN2	ENSP00000254528	animal
FBP1	ENSP00000364475	animal
NFKBIA	ENSP00000216797	animal
CCL23	ENSP00000293280	animal
ABCA7	ENSP00000263094	animal
CD27	ENSP00000266557	animal
CYSLTR1	ENSP00000362401	animal
CXCL1	ENSP00000379110	animal
IFNAR2	ENSP00000343957	animal
ADAM17	ENSP00000309968	animal
BANP	ENSP00000376903	animal
JOSD2	ENSP00000293431	animal
NFKBIL1	ENSP00000365318+ENSP00000383142	animal
PDE4A	ENSP00000270474	animal
RUNX1	ENSP00000300305	animal
RUNX1T1	ENSP00000265814	animal
MARK3	ENSP00000411397	animal
HHEX	ENSP00000282728	animal
PIK3C2B	ENSP00000356155	animal
LY6E	ENSP00000292494	animal
OASL	ENSP00000257570	animal
EPB41	ENSP00000290100	animal
PRCC	ENSP00000271526	animal
TFE3	ENSP00000314129	animal
CCL24	ENSP00000222902	animal
CLIP1	ENSP00000351665	animal
CXCR4	ENSP00000386884	animal
CCRL2	ENSP00000349967	animal
TYROBP	ENSP00000262629	animal
CES1	ENSP00000353720	animal
LILRB4	ENSP00000270452	animal
SERPINB2	ENSP00000299502	animal
TMEM176B	ENSP00000318409	animal
SOAT1	ENSP00000356591	animal
NFKBIZ	ENSP00000325663	animal
CXCL9	ENSP00000354901	animal
TOR2A	ENSP00000362381	animal
TNFSF13B	ENSP00000365048	animal
NEU1	ENSP00000408957	animal
SIRPA	ENSP00000348307	animal
C15ORF48	ENSP00000341610	animal
M1AP	ENSP00000290536	animal
OSCAR	ENSP00000352671	animal
MAP4K3	ENSP00000263881	animal
TM4SF19	ENSP00000273695	animal
CLEC10A	ENSP00000254868	animal
ZNF785	ENSP00000318090	animal
DUSP7	ENSP00000296483	animal
ZNF688	ENSP00000223459	animal
CTSS	ENSP00000357981	animal
RPL26	ENSP00000293842	animal
MT1H	ENSP00000330587	animal
TLR5	ENSP00000340089	animal
OAS3	ENSP00000228928	animal
CYB5R3	ENSP00000338461	animal
HDHD1	ENSP00000396452	animal
LANCL1	ENSP00000233714	animal
SRP19	ENSP00000282999	animal
ACP5	ENSP00000218758	animal
IL36B	ENSP00000259213	animal
ATP6V0D1	ENSP00000290949	animal
ATP6V1C1	ENSP00000379203	animal
CTSK	ENSP00000271651	animal
TCIRG1	ENSP00000265686	animal
ATP6V1E1	ENSP00000253413	animal
ITGB3	ENSP00000262017	animal
ABCA10	ENSP00000269081	animal
PQLC2	ENSP00000364295	animal
LITAF	ENSP00000340118	animal
ACHE	ENSP00000303211	animal
ATP2B4	ENSP00000350310	animal
ATP2B1	ENSP00000261173	animal
PCMT1	ENSP00000356350	animal
ALDH1A1	ENSP00000297785	animal
ARG1	ENSP00000357066	animal
CYB5A	ENSP00000341625	animal
MT1E	ENSP00000307706	animal
BMI1	ENSP00000365851	animal
EPB42	ENSP00000300215	animal
GATA1	ENSP00000365858	animal
BBS1	ENSP00000353701	animal
PLSCR1	ENSP00000345494	animal
CD58	ENSP00000358501	animal
GLO1	ENSP00000362463	animal
GSR	ENSP00000221130	animal
TSTA3	ENSP00000353243	animal
SKP1	ENSP00000231487	animal
BLVRB	ENSP00000263368	animal
PRDX2	ENSP00000301522	animal
CMPK1	ENSP00000360939	animal
APOBEC3C	ENSP00000355340	animal
PSMG2	ENSP00000325919	animal
CPA6	ENSP00000297770	animal
PPCDC	ENSP00000343190	animal
CISD1	ENSP00000363041	animal
RHCE	ENSP00000294413	animal
ABCF1	ENSP00000412553+ENSP00000414373	animal
CLTC	ENSP00000269122	animal
PRMT5	ENSP00000319169	animal
PSMD5	ENSP00000210313	animal
ABLIM3	ENSP00000310309	animal
SUGT1	ENSP00000367208	animal
ZW10	ENSP00000200135	animal
LIMA1	ENSP00000378400	animal
YWHAQ	ENSP00000238081	animal
ARHGAP35	ENSP00000385720	animal
EBAG9	ENSP00000337675	animal
DIAPH1	ENSP00000381565	animal
BCR	ENSP00000303507	animal
RABEP1	ENSP00000262477	animal
DTD1	ENSP00000366672	animal
LASP1	ENSP00000325240	animal
ESYT1	ENSP00000267113	animal
