GeneSym	EnsembleID	Tissue/Cell Type
ALDH7A1	ENSP00000387123	fetus
PSMC5	ENSP00000310572	fetus
AHCYL1	ENSP00000358814	fetus
ARL8B	ENSP00000256496	fetus
CCDC47	ENSP00000225726	fetus
TCF25	ENSP00000263346	fetus
MAN1A2	ENSP00000348959	fetus
NDN	ENSP00000332643	fetus
PINK1	ENSP00000364204	fetus
RSRC2	ENSP00000330188	fetus
ARAF	ENSP00000366244	fetus
YY1AP1	ENSP00000295566	fetus
CDC37	ENSP00000222005	fetus
STARD7	ENSP00000338030	fetus
FXR1	ENSP00000350170	fetus
SLC29A1	ENSP00000360773	fetus
ADRM1	ENSP00000253003	fetus
BAG6	ENSP00000365131+ENSP00000395190	fetus
YIPF3	ENSP00000259737	fetus
NR1H2	ENSP00000253727	fetus
C1ORF43	ENSP00000357507	fetus
WDR45	ENSP00000348848	fetus
STOML2	ENSP00000348886	fetus
RNF167	ENSP00000262482	fetus
TADA3	ENSP00000307684	fetus
PRMT1	ENSP00000246789	fetus
AURKAIP1	ENSP00000319778	fetus
EIF5A	ENSP00000336702	fetus
PREB	ENSP00000260643	fetus
MRPL37	ENSP00000354086	fetus
NRD1	ENSP00000346890	fetus
RAD23B	ENSP00000350708	fetus
COPS7A	ENSP00000229251	fetus
TMEM109	ENSP00000227525	fetus
CHCHD2	ENSP00000378812	fetus
VDAC2	ENSP00000361686	fetus
NDUFS2	ENSP00000356972	fetus
PGM1	ENSP00000360125	fetus
MFGE8	ENSP00000268150	fetus
RNPS1	ENSP00000315859	fetus
ADSL	ENSP00000216194	fetus
RAB1B	ENSP00000310226	fetus
TWF2	ENSP00000303908	fetus
PPP1R15A	ENSP00000200453	fetus
INPPL1	ENSP00000298229	fetus
ECHS1	ENSP00000357535	fetus
PSMA7	ENSP00000359910	fetus
ATP5SL	ENSP00000221943	fetus
CD34	ENSP00000310036	fetus
AAMP	ENSP00000248450	fetus
FAM154A	ENSP00000369907	fetus
NOLC1	ENSP00000359024	fetus
CENPO	ENSP00000260662	fetus
WIPI2	ENSP00000288828	fetus
EBNA1BP2	ENSP00000236051	fetus
TMEM230	ENSP00000341364	fetus
RER1	ENSP00000302088	fetus
B4GALT3	ENSP00000320965	fetus
TXNDC12	ENSP00000360688	fetus
UBL3	ENSP00000370055	fetus
PPP1R11	ENSP00000412297	fetus
SIGMAR1	ENSP00000277010	fetus
PSMC4	ENSP00000157812	fetus
TNFAIP1	ENSP00000226225	fetus
EI24	ENSP00000278903	fetus
WASF2	ENSP00000396211	fetus
PSMA1	ENSP00000315309	fetus
UBAC2	ENSP00000383911	fetus
GM2A	ENSP00000349687	fetus
LAS1L	ENSP00000363944	fetus
SAMM50	ENSP00000345445	fetus
DNAJC8	ENSP00000263697	fetus
ARFGAP1	ENSP00000314615	fetus
ARSA	ENSP00000216124	fetus
GRB2	ENSP00000339007	fetus
CCNL2	ENSP00000383611	fetus
SF3A3	ENSP00000362110	fetus
WDR46	ENSP00000363746	fetus
RTFDC1	ENSP00000023939	fetus
CTNNBL1	ENSP00000355050	fetus
ANXA7	ENSP00000362010	fetus
KLHL21	ENSP00000366886	fetus
ATP6V1G1	ENSP00000363162	fetus
CPNE1	ENSP00000317257	fetus
AGPAT1	ENSP00000401287	fetus
SLC35C2	ENSP00000243896	fetus
