Ensembl_protein_ID,Extracellular space,Cytoplasm,Plasma membrane,Lysosome,Endosome,Golgi apparatus,MEROPS_code,MEROPS_name
ENSP00000280527,1,0,1,0,0,0,I15.UNW,family I15 unassigned peptidase inhibitor homologues
ENSP00000271532,1,0,1,0,0,0,I43.UPW,family I43 unassigned peptidase inhibitors
ENSP00000348307,1,0,1,0,0,0,I43.UPW,family I43 unassigned peptidase inhibitors
ENSP00000352671,1,0,1,0,0,0,I43.UPW,family I43 unassigned peptidase inhibitors
ENSP00000375622,1,0,1,0,0,0,I43.UPW,family I43 unassigned peptidase inhibitors
ENSP00000377370,1,0,1,0,0,0,I43.UPW,family I43 unassigned peptidase inhibitors
ENSP00000356991,1,0,1,0,0,0,I43.UPW,family I43 unassigned peptidase inhibitors
ENSP00000319730,1,0,1,0,0,0,S01.159,prostasin
ENSP00000380855,1,0,1,0,0,0,I43.UPW,family I43 unassigned peptidase inhibitors
ENSP00000350364,1,0,1,0,0,0,I43.UPW,family I43 unassigned peptidase inhibitors
ENSP00000360147,1,0,1,0,0,0,M24.005,aminopeptidase P2
ENSP00000339157,1,0,1,0,0,0,M14.006,carboxypeptidase M
ENSP00000264037,1,0,1,0,0,0,I08.UPW,family I8 unassigned peptidase inhibitors
ENSP00000261180,1,0,1,0,0,0,M01.008,pyroglutamyl-peptidase II
ENSP00000359594,1,0,1,0,0,0,M87.002,chloride channel accessory protein 4
ENSP00000312158,1,0,1,0,0,0,I43.UPW,family I43 unassigned peptidase inhibitors
ENSP00000330330,1,0,1,0,0,0,S01.247,epitheliasin
ENSP00000283916,1,0,1,0,0,0,S01.047,human airway trypsin-like peptidase
ENSP00000330475,1,0,1,0,0,0,S01.365,TMPRSS11B peptidase
ENSP00000356842,1,0,1,0,0,0,I43.UPW,family I43 unassigned peptidase inhibitors
ENSP00000357033,1,0,1,0,0,0,I43.UPW,family I43 unassigned peptidase inhibitors
ENSP00000263636,1,0,1,0,0,0,I63.UNW,family I63 unassigned peptidase inhibitor homologues
ENSP00000301178,1,0,1,0,0,0,I43.UPW,family I43 unassigned peptidase inhibitors
ENSP00000308782,1,0,1,0,0,0,I43.UPW,family I43 unassigned peptidase inhibitors
ENSP00000296350,1,0,1,0,0,0,S60.973,melanotransferrin domain 1
ENSP00000296350,1,0,1,0,0,0,S60.976,melanotransferrin domain 2
ENSP00000283243,1,0,1,0,0,0,I63.UPW,family I63 unassigned peptidase inhibitors
ENSP00000230588,1,0,1,0,0,0,M12.002,meprin alpha subunit
ENSP00000256999,1,1,1,0,0,0,M28.010,glutamate carboxypeptidase II
ENSP00000085219,1,0,1,0,0,0,I43.UPW,family I43 unassigned peptidase inhibitors
ENSP00000304945,1,0,1,0,0,0,I43.UPW,family I43 unassigned peptidase inhibitors
ENSP00000369198,1,0,1,0,0,0,P02.007,Gpr64 ({Mus musculus})-type protein
ENSP00000278742,1,0,1,0,0,0,S01.302,matriptase
ENSP00000223642,1,0,1,0,0,0,I39.952,complement component C5
