Code	Name	UniProt_ID	Ensembl_gene_ID	Ensembl_transcript_ID	Ensembl_protein_ID
A01.001	pepsin A	P0DJD8	ENSG00000229859	ENST00000325558	ENSP00000322192
A01.001	pepsin A	B7Z719			
A01.001	pepsin A	B7ZW10			
A01.001	pepsin A	B7ZW16			
A01.001	pepsin A	B7ZW66			
A01.001	pepsin A	O95576			
A01.001	pepsin A	O95577			
A01.001	pepsin A	P0DJD7	ENSG00000229183	ENST00000378149	ENSP00000367391
A01.001	pepsin A	P0DJD8	ENSG00000229859	ENST00000325558	ENSP00000322192
A01.001	pepsin A	Q658W9			
A01.003	gastricsin	P20142	ENSG00000096088	ENST00000373025	ENSP00000362116
A01.003	gastricsin	P20142	ENSG00000096088	ENST00000425343	ENSP00000405094
A01.003	gastricsin	B4DW12			
A01.003	gastricsin	P20142	ENSG00000096088	ENST00000373025	ENSP00000362116
A01.003	gastricsin	P20142	ENSG00000096088	ENST00000425343	ENSP00000405094
A01.003	gastricsin	P20142-1	ENSG00000096088	ENST00000373025	ENSP00000362116
A01.003	gastricsin	P20142-2	ENSG00000096088	ENST00000425343	ENSP00000405094
A01.003	gastricsin	Q8IUM8			
A01.004	BACE1 g.p. ({Homo sapiens})	P56817	ENSG00000186318	ENST00000313005	ENSP00000318585
A01.004	BACE1 g.p. ({Homo sapiens})	P56817	ENSG00000186318	ENST00000392937	ENSP00000475405
A01.004	BACE1 g.p. ({Homo sapiens})	P56817	ENSG00000186318	ENST00000510630	ENSP00000422461
A01.004	BACE1 g.p. ({Homo sapiens})	P56817	ENSG00000186318	ENST00000428381	ENSP00000402228
A01.004	BACE1 g.p. ({Homo sapiens})	P56817	ENSG00000186318	ENST00000445823	ENSP00000403685
A01.004	BACE1 g.p. ({Homo sapiens})	P56817	ENSG00000186318	ENST00000513780	ENSP00000424536
A01.004	BACE1 g.p. ({Homo sapiens})	A0A024R3D5	ENSG00000186318	ENST00000445823	ENSP00000403685
